fecha,valor
2023-06-01,866.18
2023-06-02,866.09
2023-06-05,854.63
2023-06-06,854.66
2023-06-07,852.98
2023-06-08,849.09
2023-06-09,852.38
2023-06-12,846.09
2023-06-13,867.66
2023-06-14,867.63
2023-06-15,866.02
2023-06-16,872.34
2023-06-19,868.0
2023-06-20,868.69
2023-06-22,875.25
2023-06-23,882.02
2023-06-27,880.31
2023-06-28,877.17
2023-06-29,874.62
2023-06-30,872.48
2023-07-03,874.79
2023-07-04,872.02
2023-07-05,867.52
2023-07-06,866.21
2023-07-07,875.3
2023-07-10,884.54
2023-07-11,892.78
2023-07-12,898.55
2023-07-13,903.18
2023-07-14,907.02
2023-07-17,913.77
2023-07-18,922.62
2023-07-19,915.35
2023-07-20,908.66
2023-07-21,898.65
2023-07-24,914.5
2023-07-25,915.74
2023-07-26,915.2
2023-07-27,914.81
2023-07-28,907.5
2023-07-31,912.42
2023-08-01,924.95
2023-08-02,924.77
2023-08-03,927.84
2023-08-04,934.85
2023-08-07,934.78
2023-08-08,942.32
2023-08-09,945.79
2023-08-10,942.57
2023-08-11,935.73
2023-08-14,934.2
2023-08-16,937.4
2023-08-17,936.17
2023-08-18,939.1
2023-08-21,944.04
2023-08-22,947.69
2023-08-23,940.93
2023-08-24,934.92
2023-08-25,924.28
2023-08-28,911.04
2023-08-29,917.49
2023-08-30,931.96
2023-08-31,932.76
2023-09-01,926.4
2023-09-04,916.86
2023-09-05,922.92
2023-09-06,932.82
2023-09-07,936.31
2023-09-08,941.74
2023-09-11,955.76
2023-09-12,957.35
2023-09-13,962.53
2023-09-14,954.38
2023-09-15,942.58
2023-09-20,947.49
2023-09-21,946.38
2023-09-22,950.87
2023-09-25,947.48
2023-09-26,953.54
2023-09-27,955.93
2023-09-28,949.63
2023-09-29,957.29
2023-10-02,946.62
2023-10-03,947.16
2023-10-04,957.18
2023-10-05,959.51
2023-10-06,966.43
2023-10-10,973.14
2023-10-11,983.0
2023-10-12,980.09
2023-10-13,983.72
2023-10-16,989.64
2023-10-17,994.62
2023-10-18,999.9
2023-10-19,988.51
2023-10-20,996.57
2023-10-23,998.43
2023-10-24,1000.92
2023-10-25,983.85
2023-10-26,975.57
2023-10-30,978.82
2023-10-31,965.71
2023-11-02,950.88
2023-11-03,945.22
2023-11-06,946.21
2023-11-07,944.68
2023-11-08,946.37
2023-11-09,959.31
2023-11-10,966.59
2023-11-13,978.21
2023-11-14,986.04
2023-11-15,985.73
2023-11-16,965.91
2023-11-17,956.55
2023-11-20,962.73
2023-11-21,961.8
2023-11-22,954.34
2023-11-23,951.56
2023-11-24,950.24
2023-11-27,955.59
2023-11-28,953.46
2023-11-29,956.3
2023-11-30,952.44
2023-12-01,947.65
2023-12-04,938.61
2023-12-05,933.09
2023-12-06,943.5
2023-12-07,943.18
2023-12-11,937.68
2023-12-12,945.83
2023-12-13,950.07
2023-12-14,946.02
2023-12-15,953.21
2023-12-18,952.09
2023-12-19,956.29
2023-12-20,947.46
2023-12-21,951.76
2023-12-22,958.97
2023-12-26,973.24
2023-12-27,988.38
2023-12-28,984.6
2023-12-29,979.4
2024-01-02,970.05
2024-01-03,964.76
2024-01-04,964.65
2024-01-05,968.52
2024-01-08,977.74
2024-01-09,988.6
2024-01-10,1000.23
2024-01-11,1007.75
2024-01-12,997.56
2024-01-15,995.15
2024-01-16,998.6
2024-01-17,1002.24
2024-01-18,1006.81
2024-01-19,997.42
2024-01-22,991.54
2024-01-23,986.74
2024-01-24,984.26
2024-01-25,990.42
2024-01-26,987.29
2024-01-29,995.18
2024-01-30,1002.95
2024-01-31,1011.12
2024-02-01,1011.35
2024-02-02,1017.18
2024-02-05,1018.06
2024-02-06,1026.34
2024-02-07,1021.08
2024-02-08,1020.23
2024-02-09,1031.95
2024-02-12,1044.57
2024-02-13,1047.76
2024-02-14,1041.22
2024-02-15,1030.0
2024-02-16,1035.01
2024-02-19,1043.55
2024-02-20,1040.97
2024-02-21,1041.82
2024-02-22,1045.97
2024-02-23,1052.44
2024-02-26,1064.91
2024-02-27,1070.57
2024-02-28,1068.4
2024-02-29,1062.54
2024-03-01,1047.53
2024-03-04,1047.14
2024-03-05,1055.4
2024-03-06,1060.34
2024-03-07,1070.19
2024-03-08,1075.9
2024-03-11,1055.74
2024-03-12,1055.82
2024-03-13,1053.81
2024-03-14,1039.64
2024-03-15,1029.24
2024-03-18,1024.73
2024-03-19,1027.41
2024-03-20,1045.04
2024-03-21,1060.2
2024-03-22,1054.99
2024-03-25,1059.26
2024-03-26,1059.44
2024-03-27,1063.38
2024-03-28,1062.84
2024-04-01,1060.05
2024-04-02,1055.3
2024-04-03,1055.08
2024-04-04,1042.93
2024-04-05,1023.81
2024-04-08,1028.19
2024-04-09,1028.03
2024-04-10,1020.74
2024-04-11,1024.4
2024-04-12,1026.86
2024-04-15,1026.71
2024-04-16,1039.39
2024-04-17,1046.7
2024-04-18,1040.52
2024-04-19,1031.02
2024-04-22,1018.55
2024-04-23,1016.47
2024-04-24,1017.85
2024-04-25,1020.61
2024-04-26,1017.6
2024-04-29,1014.0
2024-04-30,1011.6
2024-05-02,1019.06
2024-05-03,1023.44
2024-05-06,1010.22
2024-05-07,1002.12
2024-05-08,1004.5
2024-05-09,1006.4
2024-05-10,1003.44
2024-05-13,993.11
2024-05-14,994.93
2024-05-15,992.07
2024-05-16,988.65
2024-05-17,979.82
2024-05-20,975.54
2024-05-22,963.38
2024-05-23,979.19
2024-05-24,982.33
2024-05-27,979.9
2024-05-28,977.5
2024-05-29,975.27
2024-05-30,981.16
2024-05-31,994.78
2024-06-03,994.33
2024-06-04,989.04
2024-06-05,985.28
2024-06-06,985.16
2024-06-07,991.45
2024-06-10,990.54
2024-06-11,993.37
2024-06-12,992.89
2024-06-13,990.22
2024-06-14,987.42
2024-06-17,993.12
2024-06-18,1007.6
2024-06-19,1003.66
2024-06-21,996.8
2024-06-24,1002.5
2024-06-25,1010.65
2024-06-26,1009.76
2024-06-27,1012.26
2024-06-28,1018.11
2024-07-01,1011.83
2024-07-02,1012.54
2024-07-03,1017.18
2024-07-04,1012.9
2024-07-05,1012.6
2024-07-08,1011.17
2024-07-09,1016.86
2024-07-10,1007.9
2024-07-11,994.33
2024-07-12,987.53
2024-07-15,992.52
2024-07-17,992.58
2024-07-18,1008.21
2024-07-19,1024.69
2024-07-22,1026.84
2024-07-23,1033.43
2024-07-24,1027.45
2024-07-25,1028.5
2024-07-26,1027.87
2024-07-29,1031.91
2024-07-30,1035.31
2024-07-31,1034.36
2024-08-01,1020.96
2024-08-02,1012.77
2024-08-05,1037.88
2024-08-06,1048.93
2024-08-07,1035.28
2024-08-08,1030.86
2024-08-09,1022.79
2024-08-12,1018.26
2024-08-13,1018.65
2024-08-14,1024.71
2024-08-16,1025.76
2024-08-19,1028.46
2024-08-20,1029.88
2024-08-21,1025.89
2024-08-22,1026.09
2024-08-23,1021.81
2024-08-26,1019.71
2024-08-27,1013.01
2024-08-28,1015.01
2024-08-29,1013.42
2024-08-30,1016.37
2024-09-02,1010.27
2024-09-03,1013.11
2024-09-04,1021.87
2024-09-05,1038.49
2024-09-06,1045.92
2024-09-09,1045.31
2024-09-10,1045.55
2024-09-11,1046.03
2024-09-12,1039.49
2024-09-13,1031.34
2024-09-16,1025.72
2024-09-17,1026.99
2024-09-23,1030.51
2024-09-24,1028.71
2024-09-25,1017.08
2024-09-26,1015.52
2024-09-27,1006.83
2024-09-30,1000.17
2024-10-01,1001.43
2024-10-02,996.38
2024-10-03,1003.35
2024-10-04,1014.55
2024-10-07,1012.87
2024-10-08,1016.98
2024-10-09,1024.27
2024-10-10,1022.58
2024-10-11,1016.44
2024-10-14,1013.43
2024-10-15,1011.96
2024-10-16,1020.24
2024-10-17,1022.6
2024-10-18,1022.96
2024-10-21,1028.55
